source,target,value
leather products (small),Ptyas mucosus,19
leather products (small),Python brongersmai,19
leather products (small),Varanus niloticus,19
leather products (small),Varanus salvator,19
skins,Python brongersmai,19
leather products (small),Alligator mississippiensis,18
leather products (small),Crocodylus niloticus,18
leather products (small),Loxodonta africana,18
leather products (small),Naja sputatrix,18
leather products (small),Python bivittatus,18
leather products (small),Python brongersmai,18
skins,Canis lupus,18
skins,Lontra canadensis,18
skins,Python brongersmai,18
skins,Varanus niloticus,18
leather products (large),Caiman crocodilus crocodilus,17
leather products (large),Python reticulatus,17
leather products (small),Alligator mississippiensis,17
leather products (small),Crocodylus niloticus,17
leather products (small),Crocodylus porosus,17
leather products (small),Ptyas mucosus,17
leather products (small),Python bivittatus,17
leather products (small),Python bivittatus,17
leather products (small),Python curtus,17
leather products (small),Python reticulatus,17
leather products (small),Python sebae,17
leather products (small),Salvator rufescens,17
leather products (small),Salvator rufescens,17
skins,Caiman crocodilus fuscus,17
skins,Crocodylus niloticus,17
skins,Crocodylus porosus,17
skins,Crocodylus siamensis,17
skins,Crocodylus siamensis,17
skins,Python reticulatus,17
skins,Python reticulatus,17
skins,Varanus salvator,17
leather products (small),Caiman crocodilus,16
leather products (small),Crocodylus niloticus,16
leather products (small),Python breitensteini,16
leather products (small),Python reticulatus,16
leather products (small),Python reticulatus,16
leather products (small),Varanus salvator,16
leather products (small),Varanus salvator,16
leather products (small),Varanus salvator,16
leather products (small),Varanus salvator,16
skins,Caiman crocodilus,16
skins,Crocodylus niloticus,16
skins,Python bivittatus,16
skins,Varanus salvator,16
leather products (large),Varanus salvator,15
leather products (small),Caiman crocodilus,15
leather products (small),Crocodylus novaeguineae,15
leather products (small),Python brongersmai,15
leather products (small),Varanus niloticus,15
leather products (small),Varanus salvator,15
skins,Alligator mississippiensis,15
skins,Crocodylus niloticus,15
skins,Python bivittatus,15
leather products (large),Arapaima gigas,14
leather products (large),Caiman crocodilus,14
leather products (small),Alligator mississippiensis,14
leather products (small),Alligator mississippiensis,14
leather products (small),Caiman crocodilus crocodilus,14
leather products (small),Python bivittatus,14
leather products (small),Python breitensteini,14
leather products (small),Python breitensteini,14
leather products (small),Python reticulatus,14
leather products (small),Varanus niloticus,14
leather products (small),Varanus salvator,14
skins,Ursus americanus,14
skins,Varanus salvator,14
leather products (large),Caiman crocodilus,13
leather products (large),Crocodylus niloticus,13
leather products (large),Python bivittatus,13
leather products (large),Python reticulatus,13
leather products (small),Caiman crocodilus,13
leather products (small),Caiman crocodilus,13
leather products (small),Crocodylus porosus,13
leather products (small),Daboia russelii,13
leather products (small),Python bivittatus,13
leather products (small),Salvator merianae,13
leather products (small),Salvator merianae,13
leather products (small),Varanus salvator,13
skins,Alligator mississippiensis,13
skins,Crocodylus novaeguineae,13
skins,Crocodylus novaeguineae,13
skins,Lycalopex griseus,13
skins,Python reticulatus,13
leather products (large),Alligator mississippiensis,12
leather products (small),Caiman crocodilus,12
leather products (small),Crocodylus niloticus,12
leather products (small),Crocodylus niloticus,12
leather products (small),Crocodylus novaeguineae,12
leather products (small),Python brongersmai,12
leather products (small),Python sebae,12
leather products (small),Varanus niloticus,12
leather products (small),Varanus salvator,12
skins,Caiman crocodilus,12
skins,Python reticulatus,12
leather products (small),Alligator mississippiensis,11
leather products (small),Caiman crocodilus crocodilus,11
leather products (small),Caiman crocodilus fuscus,11
leather products (small),Crocodylus acutus,11
leather products (small),Crocodylus novaeguineae,11
leather products (small),Crocodylus porosus,11
leather products (small),Crocodylus porosus,11
leather products (small),Crocodylus porosus,11
leather products (small),Naja sputatrix,11
leather products (small),Python bivittatus,11
leather products (small),Python molurus,11
leather products (small),Varanus niloticus,11
skins,Caiman crocodilus fuscus,11
skins,Pecari tajacu,11
skins,Python bivittatus,11
skins,Python reticulatus,11
skins,Varanus niloticus,11
